time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-25T12:33:30.880Z,38.8463326,-122.817337,1.45,0.37,md,10,120,0.009549,0.01,nc,nc73657570,2021-11-25T12:50:14.075Z,"9km WNW of Cobb, CA",earthquake,0.36,0.75,,1,automatic,nc,nc
2021-11-25T12:04:10.050Z,-10.7464,166.4849,39.91,6,mww,,42,4.724,1.2,us,us7000fwzz,2021-11-25T17:58:07.813Z,"75 km E of Lata, Solomon Islands",earthquake,8.5,6.6,0.098,10,reviewed,us,us
2021-11-25T11:54:46.730Z,38.8003349,-122.8130035,0.54,0.74,md,20,73,0.01428,0.04,nc,nc73657560,2021-11-25T11:56:22.370Z,"6km WNW of The Geysers, CA",earthquake,0.17,0.44,0.11,2,automatic,nc,nc
2021-11-25T11:47:18.990Z,19.1546669006348,-155.495162963867,36.1199989318848,2.48000002,md,48,149,,0.119999997,hv,hv72811077,2021-11-25T11:52:49.670Z,"5 km SSW of Pāhala, Hawaii",earthquake,0.47,0.639999986,1.09000003,27,automatic,hv,hv
2021-11-25T11:44:24.480Z,36.6756668,-121.296669,3.99,2.09,md,25,140,0.04224,0.08,nc,nc73657550,2021-11-25T14:28:10.593Z,"13km S of Tres Pinos, CA",earthquake,0.29,1.24,0.13,20,automatic,nc,nc
2021-11-25T11:30:11.430Z,38.8370018,-122.8208313,0.61,1.62,md,25,57,0.01155,0.03,nc,nc73657545,2021-11-25T14:13:10.195Z,"9km W of Cobb, CA",earthquake,0.17,0.34,0.01,5,automatic,nc,nc
2021-11-25T11:25:20.210Z,36.6786652,-121.2945023,1.48,1.8,md,16,147,0.03891,0.07,nc,nc73657540,2021-11-25T13:47:11.046Z,"13km S of Tres Pinos, CA",earthquake,0.4,1.8,0.18,14,automatic,nc,nc
2021-11-25T11:17:42.680Z,34.5216667,-116.5495,6.33,1.71,ml,21,54,0.1366,0.16,ci,ci39870207,2021-11-25T11:28:37.730Z,"39km ENE of Lucerne Valley, CA",earthquake,0.29,1.14,0.123,29,automatic,ci,ci
2021-11-25T11:14:02.360Z,38.8338318,-122.8184967,1.42,0.36,md,7,111,0.01232,0.01,nc,nc73657535,2021-11-25T13:18:11.853Z,"8km NW of The Geysers, CA",earthquake,0.41,0.95,,1,automatic,nc,nc
2021-11-25T11:13:07.210Z,38.803833,-122.8136673,2.07,0.49,md,14,66,0.01312,0.04,nc,nc73657530,2021-11-25T11:50:12.302Z,"6km WNW of The Geysers, CA",earthquake,0.28,0.67,0.35,2,automatic,nc,nc
